,Date,Close
330,2021-11-27,195.1
331,2021-11-28,199.5
332,2021-11-29,205.5
333,2021-11-30,207.8
334,2021-12-01,208.8
335,2021-12-02,203.5
336,2021-12-03,188.0
337,2021-12-04,162.7
338,2021-12-05,156.3
339,2021-12-06,161.3
340,2021-12-07,161.8
341,2021-12-08,165.1
342,2021-12-09,151.3
343,2021-12-10,148.3
344,2021-12-11,158.0
345,2021-12-12,159.0
346,2021-12-13,144.6
347,2021-12-14,150.4
348,2021-12-15,153.6
349,2021-12-16,148.9
350,2021-12-17,144.1
351,2021-12-18,148.6
352,2021-12-19,153.2
353,2021-12-20,152.6
354,2021-12-21,154.7
355,2021-12-22,155.4
356,2021-12-23,163.6
357,2021-12-24,161.2
358,2021-12-25,157.8
359,2021-12-26,155.7
360,2021-12-27,155.9
361,2021-12-28,145.7
362,2021-12-29,145.5
363,2021-12-30,148.0
364,2021-12-31,146.3
365,2022-01-01,150.8
366,2022-01-02,151.2
367,2022-01-03,148.5
368,2022-01-04,146.5
369,2022-01-05,135.4
370,2022-01-06,135.9
371,2022-01-07,131.4
372,2022-01-08,129.4
373,2022-01-09,130.9
374,2022-01-10,126.5
375,2022-01-11,131.6
376,2022-01-12,141.9
377,2022-01-13,136.7
378,2022-01-14,144.7
379,2022-01-15,147.7
380,2022-01-16,146.4
381,2022-01-17,151.2
382,2022-01-18,141.5
383,2022-01-19,136.2
384,2022-01-20,129.7
385,2022-01-21,114.5
386,2022-01-22,108.4
387,2022-01-23,112.3
388,2022-01-24,109.5
389,2022-01-25,107.8
390,2022-01-26,106.9
391,2022-01-27,106.9
392,2022-01-28,109.4
393,2022-01-29,110.8
394,2022-01-30,108.6
395,2022-01-31,109.5
396,2022-02-01,115.0
397,2022-02-02,108.3
398,2022-02-03,111.0
399,2022-02-04,121.3
400,2022-02-05,121.7
401,2022-02-06,127.6
402,2022-02-07,137.4
403,2022-02-08,133.7
404,2022-02-09,140.1
405,2022-02-10,134.6
406,2022-02-11,125.6
407,2022-02-12,126.7
408,2022-02-13,125.6
409,2022-02-14,124.6
410,2022-02-15,131.5
411,2022-02-16,127.7
412,2022-02-17,116.3
413,2022-02-18,114.9
414,2022-02-19,115.5
415,2022-02-20,110.6
416,2022-02-21,102.8
417,2022-02-22,107.4
418,2022-02-23,105.4
419,2022-02-24,104.1
420,2022-02-25,109.2
421,2022-02-26,108.2
422,2022-02-27,102.9
423,2022-02-28,113.7
424,2022-03-01,112.5
425,2022-03-02,110.3
426,2022-03-03,111.7
427,2022-03-04,101.0
428,2022-03-05,104.9
429,2022-03-06,101.1
430,2022-03-07,98.4
431,2022-03-08,100.7
432,2022-03-09,106.9
433,2022-03-10,102.5
434,2022-03-11,104.6
435,2022-03-12,105.6
436,2022-03-13,101.7
437,2022-03-14,105.6
438,2022-03-15,106.8
439,2022-03-16,111.4
440,2022-03-17,110.2
441,2022-03-18,111.9
442,2022-03-19,116.8
443,2022-03-20,114.9
444,2022-03-21,116.0
445,2022-03-22,122.7
446,2022-03-23,122.4
447,2022-03-24,126.5
448,2022-03-25,123.9
449,2022-03-26,124.8
450,2022-03-27,129.7
451,2022-03-28,127.6
452,2022-03-29,130.1
453,2022-03-30,131.1
454,2022-03-31,123.8
455,2022-04-01,124.8
456,2022-04-02,124.8
457,2022-04-03,128.7
458,2022-04-04,124.8
459,2022-04-05,122.7
460,2022-04-06,111.7
461,2022-04-07,114.1
462,2022-04-08,110.7
463,2022-04-09,112.7
464,2022-04-10,110.3
465,2022-04-11,102.4
466,2022-04-12,104.8
467,2022-04-13,110.5
468,2022-04-14,107.3
469,2022-04-15,111.0
470,2022-04-16,114.3
471,2022-04-17,108.8
472,2022-04-18,111.3
473,2022-04-19,113.8
474,2022-04-20,111.9
475,2022-04-21,106.8
476,2022-04-22,105.4
477,2022-04-23,105.1
478,2022-04-24,104.6
479,2022-04-25,104.6
480,2022-04-26,98.6
481,2022-04-27,100.5
482,2022-04-28,103.3
483,2022-04-29,100.4
484,2022-04-30,95.8
485,2022-05-01,99.3
486,2022-05-02,100.7
487,2022-05-03,99.4
488,2022-05-04,106.3
489,2022-05-05,96.8
490,2022-05-06,96.7
491,2022-05-07,94.3
492,2022-05-08,93.9
493,2022-05-09,76.2
494,2022-05-10,80.2
495,2022-05-11,66.6
496,2022-05-12,64.5
497,2022-05-13,67.9
498,2022-05-14,68.9
499,2022-05-15,71.6
500,2022-05-16,67.3
501,2022-05-17,73.2
502,2022-05-18,66.0
503,2022-05-19,72.1
504,2022-05-20,68.6
505,2022-05-21,69.8
506,2022-05-22,71.7
507,2022-05-23,69.1
508,2022-05-24,70.2
509,2022-05-25,68.2
510,2022-05-26,63.5
511,2022-05-27,61.6
512,2022-05-28,63.0
513,2022-05-29,63.6
514,2022-05-30,69.1
515,2022-05-31,68.4
516,2022-06-01,62.7
517,2022-06-02,64.5
518,2022-06-03,62.6
519,2022-06-04,63.7
520,2022-06-05,63.2
521,2022-06-06,64.5
522,2022-06-07,63.8
523,2022-06-08,61.3
524,2022-06-09,60.3
525,2022-06-10,56.7
526,2022-06-11,52.2
527,2022-06-12,47.9
528,2022-06-13,43.5
529,2022-06-14,46.15
530,2022-06-15,50.65
531,2022-06-16,44.78
532,2022-06-17,47.6
533,2022-06-18,47.18
534,2022-06-19,54.29
535,2022-06-20,52.77
536,2022-06-21,53.52
537,2022-06-22,52.13
538,2022-06-23,55.74
539,2022-06-24,55.84
540,2022-06-25,58.88
541,2022-06-26,56.61
542,2022-06-27,55.86
543,2022-06-28,52.68
544,2022-06-29,53.68
545,2022-06-30,53.84
546,2022-07-01,51.19
547,2022-07-02,50.55
548,2022-07-03,50.95
549,2022-07-04,52.26
550,2022-07-05,49.7
551,2022-07-06,50.34
552,2022-07-07,52.15
553,2022-07-08,51.35
554,2022-07-09,54.09
555,2022-07-10,52.12
556,2022-07-11,48.71
557,2022-07-12,47.33
558,2022-07-13,49.56
559,2022-07-14,51.32
560,2022-07-15,51.78
561,2022-07-16,55.08
562,2022-07-17,55.76
563,2022-07-18,58.6
564,2022-07-19,57.9
565,2022-07-20,57.2
566,2022-07-21,58.02
567,2022-07-22,56.09
568,2022-07-23,56.32
569,2022-07-24,58.39
570,2022-07-25,54.0
571,2022-07-26,53.88
572,2022-07-27,59.01
573,2022-07-28,63.41
574,2022-07-29,60.65
575,2022-07-30,60.42
576,2022-07-31,59.74
577,2022-08-01,59.44
578,2022-08-02,58.05
579,2022-08-03,57.77
580,2022-08-04,59.65
581,2022-08-05,62.47
582,2022-08-06,60.83
583,2022-08-07,61.1
584,2022-08-08,62.61
585,2022-08-09,59.16
586,2022-08-10,61.59
587,2022-08-11,61.84
588,2022-08-12,62.88
589,2022-08-13,63.8
590,2022-08-14,63.14
591,2022-08-15,60.67
592,2022-08-16,61.33
593,2022-08-17,60.52
594,2022-08-18,60.02
595,2022-08-19,53.99
596,2022-08-20,54.1
597,2022-08-21,55.67
598,2022-08-22,57.22
599,2022-08-23,57.08
600,2022-08-24,56.46
601,2022-08-25,56.63
602,2022-08-26,52.68
603,2022-08-27,53.01
604,2022-08-28,53.41
605,2022-08-29,55.8
606,2022-08-30,53.01
607,2022-08-31,53.84
608,2022-09-01,57.58
609,2022-09-02,60.99
610,2022-09-03,60.15
611,2022-09-04,60.9
612,2022-09-05,60.39
613,2022-09-06,54.11
614,2022-09-07,57.31
615,2022-09-08,57.96
616,2022-09-09,61.13
617,2022-09-10,63.28
618,2022-09-11,62.16
619,2022-09-12,61.38
620,2022-09-13,59.1
621,2022-09-14,60.18
622,2022-09-15,56.34
623,2022-09-16,55.95
624,2022-09-17,57.83
625,2022-09-18,52.63
626,2022-09-19,52.91
627,2022-09-20,52.3
628,2022-09-21,51.09
629,2022-09-22,53.57
630,2022-09-23,55.22
631,2022-09-24,53.43
632,2022-09-25,52.53
633,2022-09-26,53.44
634,2022-09-27,52.65
635,2022-09-28,53.29
636,2022-09-29,53.96
637,2022-09-30,53.48
638,2022-10-01,52.92
639,2022-10-02,51.82
640,2022-10-03,54.17
641,2022-10-04,55.28
642,2022-10-05,54.63
643,2022-10-06,53.53
644,2022-10-07,52.83
645,2022-10-08,52.79
646,2022-10-09,53.9
647,2022-10-10,52.63
648,2022-10-11,52.03
649,2022-10-12,52.23
650,2022-10-13,51.1
651,2022-10-14,51.31
652,2022-10-15,50.39
653,2022-10-16,51.43
654,2022-10-17,51.82
655,2022-10-18,51.86
656,2022-10-19,50.94
657,2022-10-20,51.22
658,2022-10-21,51.63
659,2022-10-22,52.18
660,2022-10-23,54.03
661,2022-10-24,52.54
662,2022-10-25,55.92
663,2022-10-26,56.39
664,2022-10-27,54.75
665,2022-10-28,54.92
666,2022-10-29,56.6
667,2022-10-30,55.35
668,2022-10-31,55.01
669,2022-11-01,55.1
670,2022-11-02,60.95
671,2022-11-03,61.84
672,2022-11-04,67.58
673,2022-11-05,69.23
674,2022-11-06,68.26
675,2022-11-07,67.42
676,2022-11-08,57.82
677,2022-11-09,50.68
678,2022-11-10,60.56
679,2022-11-11,61.49
680,2022-11-12,59.94
681,2022-11-13,57.37
682,2022-11-14,56.7
683,2022-11-15,58.01
684,2022-11-16,57.49
685,2022-11-17,62.59
686,2022-11-18,62.62
687,2022-11-19,63.98
688,2022-11-20,62.12
689,2022-11-21,61.31
690,2022-11-22,70.66
691,2022-11-23,79.02
692,2022-11-24,78.66
693,2022-11-25,74.1
694,2022-11-26,76.47
695,2022-11-27,74.92
696,2022-11-28,73.97
697,2022-11-29,75.8
698,2022-11-30,79.16
